UserID,Group,Age,Gender,TimeSpentMinutes,TaskSuccess,SatisfactionScore
1,A,48,Male,3.73,1,5.6
2,A,36,Male,4.89,1,6.8
3,A,48,Other,3.34,0,5.4
4,A,30,Male,6.01,1,7.2
5,A,21,Male,4.45,1,7.6
6,A,37,Other,6.86,1,7.3
7,A,30,Male,5.08,0,7.4
8,A,50,Male,5.18,1,6.6
9,A,40,Male,4.2,1,8
10,A,55,Female,5.07,1,7.8
11,A,28,Other,5.91,0,5.4
12,A,32,Male,5.28,1,7.2
13,A,51,Other,3.92,1,7
14,A,58,Male,1.87,1,8
15,A,55,Male,4.72,1,6.1
16,A,41,Other,5.19,1,6.2
17,A,55,Female,5.61,0,4.7
18,A,38,Male,5.11,1,7.3
19,A,34,Other,2.39,1,5.2
20,A,18,Other,4.55,0,6.1
21,A,21,Female,4.42,1,7.3
22,A,54,Female,3.63,1,7.3
23,A,43,Other,4.35,1,7.6
24,A,35,Male,3.23,1,6.9
25,A,34,Female,4.56,1,6.5
26,A,29,Male,3.26,0,5.7
27,A,18,Other,4.62,0,7.1
29,A,51,Male,6.07,1,6.5
30,A,27,Female,4.13,1,5.1
31,A,45,Female,4.51,1,5.6
32,A,31,Other,2.05,1,7.3
33,A,44,Male,4.71,1,5.8
34,A,59,Female,3.2,1,4.8
35,A,54,Male,3.95,1,6.3
36,A,33,Male,4.1,1,8.5
37,A,55,Other,4.53,1,6.8
38,A,46,Other,4.12,0,7.2
39,A,49,Other,4.44,1,7.5
40,A,49,Other,4.69,1,5.4
42,A,23,Female,4.27,0,5.9
43,A,39,Female,4.17,1,9.7
44,A,46,Other,4.24,0,7.1
45,A,35,Female,8.04,1,6.9
46,A,55,Male,4.82,1,6.4
47,A,25,Female,4.77,1,7.6
49,A,58,Other,5.4,1,5.3
52,A,26,Male,4.55,0,6.8
53,A,33,Other,3.3,1,8.1
55,A,57,Other,5.02,1,6.7
56,A,39,Male,3.88,0,7.7
57,A,36,Other,5.76,1,5.4
58,A,27,Male,4.91,1,9.7
60,A,52,Male,4.94,1,4.4
61,A,54,Other,6.31,1,6.6
62,A,50,Male,3.82,1,6.5
63,A,52,Male,4.42,1,4.9
64,A,34,Male,4.03,1,4.4
65,A,33,Other,5.68,1,7.1
66,A,40,Other,3.12,1,6.1
67,A,40,Other,5,1,5.7
68,A,22,Other,4.01,1,6.5
69,A,46,Other,3.11,1,7.9
70,A,46,Other,3.9,1,8
72,A,56,Female,5.38,1,4.7
73,A,29,Other,3.76,1,6.6
74,A,21,Other,4.67,1,8.8
75,A,48,Male,5.48,0,6.3
76,A,22,Female,4.72,1,8.2
77,A,45,Other,3.62,1,5.9
78,A,18,Male,2.75,1,4.6
79,A,54,Other,2.75,0,6.7
81,A,39,Other,3.3,1,5.2
82,A,59,Female,4.09,1,7.5
83,A,18,Male,4.75,1,4.6
85,A,31,Female,3.48,1,5.5
87,A,57,Other,4.41,1,7.1
88,A,43,Male,4.73,1,9.8
89,A,30,Female,3.42,1,7.4
90,A,57,Male,5.05,0,7.3
91,A,28,Female,4.59,0,6.4
92,A,46,Male,4.79,1,6.8
93,A,32,Other,6.73,1,7.8
94,A,53,Other,3.26,0,8.1
95,A,39,Other,4.9,1,6.3
96,A,29,Female,4.83,1,6.9
98,A,58,Other,6.34,1,8.7
99,A,53,Other,4.69,0,6.9
100,A,21,Male,3.93,1,5.7
101,B,31,Male,4.52,1,7.9
102,B,42,Male,5.67,1,8.6
103,B,25,Male,4.96,1,9.8
105,B,24,Male,6.48,1,9.5
106,B,29,Male,5.95,0,7.3
107,B,50,Female,6.96,1,7.9
108,B,33,Male,5.13,1,9.2
110,B,47,Female,3.94,1,5.7
111,B,32,Female,5.43,1,7.6
112,B,26,Female,6.32,1,9.8
113,B,55,Female,5.41,1,8.5
114,B,58,Male,3.63,0,8
115,B,29,Male,5.75,0,7.2
117,B,29,Female,7.08,1,9.2
118,B,46,Male,5.32,1,6.9
